countyID|countyName|countySize|countyZone
1|ADAIR|569|SOUTHERN
2|ADAMS|424|SOUTHERN
3|ALLAMAKEE|640|NORTHERN
4|APPANOOSE|496|SOUTHERN
5|AUDUBON|443|CENTRAL
6|BENTON|716|CENTRAL
7|BLACK HAWK|567|CENTRAL
8|BOONE|572|CENTRAL
9|BREMER|428|NORTHERN
10|BUCHANAN|571|CENTRAL
11|BUENA VISTA|575|NORTHERN
12|BUTLER|580|NORTHERN
13|CALHOUN|570|CENTRAL
14|CARROLL|569|CENTRAL
15|CASS|564|SOUTHERN
16|CEDAR|580|CENTRAL
17|CERRO GORDO|568|NORTHERN
18|CHEROKEE|577|NORTHERN
19|CHICKASAW|505|NORTHERN
20|CLARKE|431|SOUTHERN
21|CLAY|569|NORTHERN
22|CLAYTON|779|NORTHERN
23|CLINTON|695|CENTRAL
24|CRAWFORD|714|CENTRAL
25|DALLAS|586|CENTRAL
26|DAVIS|503|SOUTHERN
27|DECATUR|532|SOUTHERN
28|DELAWARE|578|CENTRAL
29|DES MOINES|416|SOUTHERN
30|DICKINSON|381|NORTHERN
31|DUBUQUE|608|CENTRAL
32|EMMET|396|NORTHERN
33|FAYETTE|731|NORTHERN
34|FLOYD|501|NORTHERN
35|FRANKLIN|582|NORTHERN
36|FREMONT|511|SOUTHERN
37|GREENE|568|CENTRAL
38|GRUNDY|503|CENTRAL
39|GUTHRIE|591|CENTRAL
40|HAMILTON|577|CENTRAL
41|HANCOCK|571|NORTHERN
42|HARDIN|569|CENTRAL
43|HARRISON|697|CENTRAL
44|HENRY|434|SOUTHERN
45|HOWARD|473|NORTHERN
46|HUMBOLDT|434|NORTHERN
47|IDA|432|CENTRAL
48|IOWA|586|CENTRAL
49|JACKSON|636|CENTRAL
50|JASPER|730|CENTRAL
51|JEFFERSON|435|SOUTHERN
52|JOHNSON|614|CENTRAL
53|JONES|575|CENTRAL
54|KEOKUK|579|SOUTHERN
55|KOSSUTH|973|NORTHERN
56|LEE|517|SOUTHERN
57|LINN|718|CENTRAL
58|LOUISA|402|SOUTHERN
59|LUCAS|431|SOUTHERN
60|LYON|588|NORTHERN
61|MADISON|561|SOUTHERN
62|MAHASKA|571|SOUTHERN
63|MARION|554|SOUTHERN
64|MARSHALL|572|CENTRAL
65|MILLS|437|SOUTHERN
66|MITCHELL|469|NORTHERN
67|MONONA|693|CENTRAL
68|MONROE|433|SOUTHERN
69|MONTGOMERY|424|SOUTHERN
70|MUSCATINE|439|CENTRAL
71|OBRIEN|573|NORTHERN
72|OSCEOLA|399|NORTHERN
73|PAGE|535|SOUTHERN
74|PALO ALTO|564|NORTHERN
75|PLYMOUTH|864|NORTHERN
76|POCAHONTAS|578|NORTHERN
77|POLK|570|CENTRAL
78|POTTAWATTAMIE|954|SOUTHERN
79|POWESHIEK|585|CENTRAL
80|RINGGOLD|538|SOUTHERN
81|SAC|576|CENTRAL
82|SCOTT|458|CENTRAL
83|SHELBY|591|CENTRAL
84|SIOUX|768|NORTHERN
85|STORY|573|CENTRAL
86|TAMA|721|CENTRAL
87|TAYLOR|534|SOUTHERN
88|UNION|424|SOUTHERN
89|VAN BUREN|485|SOUTHERN
90|WAPELLO|432|SOUTHERN
91|WARREN|572|SOUTHERN
92|WASHINGTON|569|SOUTHERN
93|WAYNE|526|SOUTHERN
94|WEBSTER|715|CENTRAL
95|WINNEBAGO|400|NORTHERN
96|WINNESHIEK|690|NORTHERN
97|WOODBURY|873|CENTRAL
98|WORTH|400|NORTHERN
99|WRIGHT|581|NORTHERN
